Employee_ID,Age,Experience_Years,Monthly_Salary,Annual_Bonus,Performance_Score,Training_Hours,Projects_Completed,Job_Satisfaction,Education,Department,Employment_Type,Work_Mode,City,Promotion
EMP-00001,36.0,15.0,12213.88,2442.75,Good,13.3,2.0,Medium,Bachelor,Sales,Full-Time,Office,Multan,No
EMP-00002,21.0,5.0,9905.15,5509.05,Average,21.7,3.0,High,Master,IT,Full-Time,Hybrid,Islamabad,No
EMP-00003,39.0,22.0,18764.54,29672.59,Average,13.6,8.0,Medium,Bachelor,Operations,Full-Time,Remote,Peshawar,Yes
EMP-00004,43.0,15.0,14102.17,30851.54,Excellent,38.4,3.0,Low,Bachelor,Operations,Full-Time,Hybrid,Multan,No
EMP-00005,42.0,17.0,17039.59,12473.48,Good,36.9,5.0,Medium,Master,Operations,Full-Time,Hybrid,Rawalpindi,No
EMP-00006,49.0,25.0,20883.19,17612.67,Poor,33.0,4.0,High,Master,Operations,Part-Time,Remote,Multan,No
EMP-00007,33.0,9.0,13110.13,11861.19,Good,89.1,2.0,High,Bachelor,IT,Full-Time,Hybrid,Islamabad,No
EMP-00008,31.0,15.0,14698.53,13189.58,Excellent,21.8,7.0,High,Master,Finance,Full-Time,Office,Islamabad,Yes
EMP-00009,35.0,13.0,11646.54,16018.53,Average,19.5,3.0,Low,Bachelor,HR,Contract,Hybrid,Peshawar,No
EMP-00010,30.0,8.0,11904.36,20272.61,Poor,27.0,,Very High,High School,Sales,Full-Time,Office,Multan,No
EMP-00011,51.0,31.0,21347.96,34264.99,Average,25.1,7.0,Medium,Master,HR,Full-Time,Office,Rawalpindi,Yes
EMP-00012,,18.0,13674.77,14785.58,Excellent,9.9,2.0,Very High,High School,Finance,Contract,Remote,Karachi,No
EMP-00013,21.0,0.0,7632.84,17558.51,Average,21.1,5.0,Medium,Bachelor,HR,Contract,Hybrid,Peshawar,No
EMP-00014,33.0,7.0,11836.26,13940.68,Good,82.1,5.0,Medium,Bachelor,IT,Contract,Hybrid,Karachi,No
EMP-00015,38.0,16.0,17893.86,16523.77,Excellent,100.1,7.0,Medium,Master,HR,Full-Time,Hybrid,Karachi,Yes
EMP-00016,21.0,1.0,9064.07,11149.23,Good,35.8,5.0,Very High,Bachelor,Sales,Full-Time,Hybrid,Multan,Yes
EMP-00017,45.0,23.0,16141.87,28843.62,Average,2.7,5.0,Medium,Bachelor,Marketing,Full-Time,Office,Peshawar,No
EMP-00018,30.0,12.0,14910.08,7388.99,Poor,15.0,4.0,Medium,Master,Sales,Full-Time,Hybrid,Lahore,No
EMP-00019,25.0,0.0,9556.1,11041.32,Good,32.2,3.0,Medium,High School,Sales,Part-Time,Hybrid,Islamabad,No
