Employee_ID,Age,Experience,Monthly_Salary,Bonus,Gender,Department,City,Education,Performance,Work_Mode,Promotion
EMP001,25,2,28000,5000,Male,IT,Lahore,Bachelor,Good,Remote,No
EMP002,32,8,65000,12000,Female,HR,Karachi,Master,Excellent,Hybrid,Yes
EMP003,29,5,48000,8000,Male,Finance,Islamabad,Bachelor,Average,Office,No
EMP004,,10,95000,18000,Female,IT,Lahore,Master,Excellent,Hybrid,Yes
EMP005,41,15,180000,40000,Male,Management,Karachi,PhD,Excellent,Office,Yes
EMP006,27,3,32000,6000,Female,Marketing,Islamabad,Bachelor,Good,Remote,No
EMP007,35,9,78000,14000,Male,Finance,Lahore,Master,Good,Hybrid,Yes
EMP008,30,,55000,9000,Female,IT,Karachi,Bachelor,Average,Office,No
EMP009,24,1,25000,4000,Male,Sales,Islamabad,Bachelor,Good,Remote,No
EMP010,38,12,125000,22000,Female,Management,Lahore,PhD,Excellent,Office,Yes
EMP011,33,7,,11000,Male,IT,Karachi,Master,Good,Hybrid,Yes
EMP012,26,2,30000,4500,Female,HR,Islamabad,Bachelor,Average,Remote,No
EMP013,45,20,450000,95000,Male,Management,Lahore,PhD,Excellent,Office,Yes
EMP014,28,4,38000,7000,Female,Marketing,Karachi,Bachelor,Good,Hybrid,No
EMP015,36,11,98000,19000,Male,Finance,Islamabad,Master,Excellent,Office,Yes
EMP016,31,6,52000,8500,Female,Sales,Lahore,Bachelor,Average,Remote,No
EMP017,29,5,47000,7800,Male,IT,Karachi,Master,Good,Hybrid,Yes
EMP018,40,16,210000,50000,Female,Management,Islamabad,PhD,Excellent,Office,Yes
EMP019,,8,69000,12500,Male,Finance,Lahore,Master,Good,Hybrid,Yes
EMP020,23,1,24000,3500,Female,HR,Karachi,Bachelor,Average,Remote,No
EMP021,34,9,81000,15000,Male,IT,Islamabad,Master,Excellent,Hybrid,Yes
EMP022,37,13,140000,26000,Female,Management,Lahore,PhD,Excellent,Office,Yes
EMP023,28,4,39000,7200,Male,Sales,Karachi,Bachelor,Good,Remote,No
EMP024,42,18,300000,70000,Female,Management,Islamabad,PhD,Excellent,Office,Yes
EMP025,30,6,56000,9200,Male,Finance,Lahore,Master,Good,Hybrid,Yes
EMP026,27,3,34000,5800,Female,Marketing,Karachi,Bachelor,Average,Remote,No
EMP027,39,14,165000,33000,Male,Management,Islamabad,PhD,Excellent,Office,Yes
EMP028,26,,31000,5000,Female,IT,Lahore,Bachelor,Good,Hybrid,No
EMP029,35,10,88000,17000,Male,Finance,Karachi,Master,Excellent,Office,Yes
EMP030,24,2,26000,4200,Female,Sales,Islamabad,Bachelor,Average,Remote,No
